Tweet,preprocessed,Sentimen
"ni kalo tiktok shop ditutup gue beli skincare dimana anjir, di shopee tuh madagascar mahal udahan ðŸ˜­",ini kalau tiktok shop ditutup saya beli skincare dimana anjing di shopee tuh madagascar mahal udahan,Negatif
Juni kemarin Tiktok Shop jadi sponsor utama pameran buku internasional di Malaysia. Di Indonesia malah tiktok shop ditutup dan kita nggak bisa jualan lagi deh. Banyak banget penjual dan affiliator menangis. Apa ini?,juni kemarin tiktok shop jadi sponsor utama pameran buku internasional di malaysia di indonesia bahkan tiktok shop ditutup dan kita tidak bisa jualan lagi deh banyak sekali penjual dan affiliator menangis apa ini,Negatif
plis tiktokshop jgn ditutup dulu gue mau beliii ipad di tiktokðŸ˜­ðŸ˜­ðŸ˜­,tolong tiktok shop jangan ditutup dulu saya mau beliii ipad di tiktok,Positif
Koordinat perdebatan tiktokshop ditutup dong thank you,koordinat perdebatan tiktok shop ditutup dong terima kasih you,Negatif
TikTok Shop sudah membantu pekerjaan saya dan memberikan dampak bagi keluarga saya dan jika ditutup maka akan banyak kendala dalam upaya menghidupi keluarga saya  Mohon atensi Bapak @jokowi   #KamiUMKMdiTikTok,tiktok shop sudah membantu pekerjaan saya dan memberikan dampak bagi keluarga saya dan jika ditutup maka akan banyak kendala dalam upaya menghidupi keluarga saya mohon atensi bapak,Positif
"aku lahir, dunia krisis masuk sd, ganti kepsek masuk smp, ganti kepsek masuk smk, ganti kepsek masuk kuliah, ganti dekan kerja, negara bikin regulasi baru bidang kerjaanku jualan di tiktokshop, ditutup  apa jangan2 aku harus diruwat ya",saya lahir dunia krisis masuk sd ganti kepala sekolah masuk sampai ganti kepala sekolah masuk smk ganti kepala sekolah masuk kuliah ganti dekan kerja negara bikin regulasi baru bidang kerjaanku jualan di tiktok shop ditutup apa jangan saya harus diruwat iya,Positif
walopun tiktok shop ditutup dilarang pemerintah tapi kamu masih bisa membuka aurat yang dilarang agama coba kamu renungkan slama 5 detik,walopun tiktok shop ditutup dilarang pemerintah tetapi kamu masih bisa membuka aurat yang dilarang agama coba kamu renungkan slama detik,Negatif
"yg harus ditutup itu seharusnya slot/judi online, bukan #tiktokshop. apa karna pajaknya gede? ðŸ‘€",yang harus ditutup itu seharusnya slotjudi online bukan apa karena pajaknya besar,Negatif
baru tau tiktokshop tp udah mau ditutup aja ish,baru tahu tiktok shop tetapi sudah mau ditutup saja ish,Negatif
Kalo tiktokshop ditutup gmn yg lg sibuk kerja disitu ya ? Kayak saya saya ini ðŸ¤£ðŸ¤£ðŸ¤£,kalau tiktok shop ditutup bagaimana yang lagi sibuk kerja disitu iya seperti saya saya ini,Netral
Harus cepet-cepet checkout wishlist di tiktokshop nih sebelum ditutup karena harganya suka jauh lebih murah daripada di ecomm,harus cepat cepat checkout wishlist di tiktok shop ini sebelum ditutup karena harganya suka jauh lebih murah daripada di ecomm,Positif
Tiktok shop ditutup aku setuju2 aja karena emang gak sehat. Tapi ya gak bikin dagangan UMKM lokal makin rame sih karena yang menurun daya beli masyarakatnya.,tiktok shop ditutup saya setuju saja karena memang tidak sehat tetapi iya tidak bikin dagangan umkm lokal makin ramai sih karena yang menurun daya beli masyarakatnya,Positif
Tiktok shop beneran ditutup?,tiktok shop benar ditutup,Negatif
trus jika tiktok shop ditutup apa bakal instan pasar langsung rame hmm,terus jika tiktok shop ditutup apa bakal instan pasar langsung ramai hmm,Negatif
"Ya walaupun jarang beli di tiktok shop, ngape si pake ditutup. Org tinggal menterinya ngajarin/sosialisasi pedagang menghadapi perkembangan jaman. Tinggal artis2nya aja yg dilarang ikut2an",iya walaupun jarang beli di tiktok shop kenapa si pakai ditutup orang tinggal menterinya ngajarinsosialisasi pedagang menghadapi perkembangan jaman tinggal artisnya saja yang dilarang ikutan,Positif
"Tiktok shop ditutup karena mengancam UMKM, berarti yang jualan di Tiktok shop gak dianggap UMKM ðŸ˜‚",tiktok shop ditutup karena mengancam umkm berarti yang jualan di tiktok shop tidak dianggap umkm,Negatif
Tiktok shop ditutup ini jadi maksudnya gimana? affiliate nggak bisa bikin promo keranjang kuning ya? atau nggak bisa live jualan lagi? soalnya kulihat masih banyak yang live,tiktok shop ditutup ini jadi maksudnya bagaimana affiliate tidak bisa bikin promo keranjang kuning iya atau tidak bisa live jualan lagi soalnya kulihat masih banyak yang live,Positif
"Eh ini nanya beneran ya: kalo tiktokshop ditutup gara2 ada transaksi jual beli langsung di tiktok yg kategorinya medsos, terus apa shopee bukan berarti ecommerce yg menjalar ke medsos dengan shopee livenya? Terus apa kabar facebook groups yg isinya jualan?",eh ini bertanya benar iya kalau tiktok shop ditutup karena ada transaksi jual beli langsung di tiktok yang kategorinya media sosial terus apa shopee bukan berarti toko online yang menjalar ke media sosial dengan shopee livenya terus apa kabar facebook groups yang isinya jualan,Positif
"Sedih tiktok shop ditutup, jadi gak bisa beli dongkrak imitasi lagi",sedih tiktok shop ditutup jadi tidak bisa beli dongkrak imitasi lagi,Negatif
Baru juga belajar tiktok affiliate. Tiktok shop ditutup hem...,baru juga belajar tiktok affiliate tiktok shop ditutup hem,Negatif
Tiktok Shop ditutup kagak juga gak bakal ngaruh banyak,tiktok shop ditutup tidak juga tidak bakal berpengaruh banyak,Positif
"plis buru2 tiktokshop ditutup, biar kpi gw berkurangðŸ˜µâ€ðŸ’«",tolong buru tiktok shop ditutup biar kpi saya berkurang,Negatif
"Dgn artis masuk TikTok Shop hrsnya bikin regulasi baru, bukannya nutup TikTok Shop nya garaÂ² Tanah Abang ga laku. Lho, artis masuk yutub aja YouTube nye ga ditutup, yutuber kecil view nya sedih padahal.  Nutup TikTok Shop ga bikin Tanah Abang rame lagi, trust me.",dengan artis masuk tiktok shop harusnya bikin regulasi baru bukannya nutup tiktok shop nya karena tanah abang tidak laku loh artis masuk youtube saja youtube nye tidak ditutup yutuber kecil view nya sedih padahal nutup tiktok shop tidak bikin tanah abang ramai lagi trust me,Negatif
Pemerintah tidak belajar dari pengalaman sebelumnya. Kl TikTok shop ditutup itu hanya akan mengalihkan traffic ke saluran lain. Marketplace lain sudah siap sedia mengambil alih. Nah.. jika ada marketplace yg kemudian hari setrending TikTok apa akan diminta tutup juga?  Next..,pemerintah tidak belajar dari pengalaman sebelumnya kalau tiktok shop ditutup itu hanya akan mengalihkan traffic ke saluran lain marketplace lain sudah siap sedia mengambil alih nah jika ada marketplace yang kemudian hari setrending tiktok apa akan diminta tutup juga lanjut,Negatif
"tentang TikTok shop yang ditutup gue sih nggak tau ya, tapi pengen cerita dikit aja kalo TikTok shop nolongin gue pas ada satu buku yang udah nggak dijual di toko buku, masalahnya buku yang di online shop ini harganya nggak ngotak.",tentang tiktok shop yang ditutup saya sih tidak tahu iya tetapi ingin cerita dikit saja kalau tiktok shop tolong saya pas ada satu buku yang sudah tidak dijual di toko buku masalahnya buku yang di online shop ini harganya tidak otak,Negatif
Tiktok shop ditutup ga bikin otomatis tanah abang rame. Perputaran di tanah abang insignifikan sama ramenya tiktok shop. Kenapa ya kira2? Ecommerce kah yg geter? Atau ga ada peraturan jelas buat tiktok â€œshopâ€ nya?,tiktok shop ditutup tidak bikin otomatis tanah abang ramai perputaran di tanah abang insignifikan sama ramenya tiktok shop kenapa iya kira toko online kah yang getar atau tidak ada peraturan jelas buat tiktok shop nya,Negatif
"Mas kaesang dua hari masuk partai udah jadi ketum, 2 hari kenalan sama anggota2 lain juga pastinya belum  Pak jokowi menutup tiktok shop karena beberapa hari ini ada keluhan pasar tanah abang sepi"" padahal tiktok shop ditutup ga jamin tanah abang jadi rame lagi  Pada buru2 amat."";0;negatif,,,,,,,,,,,,,,,",mas kaesang dua hari masuk partai sudah jadi ketum hari kenalan sama anggota lain juga pastinya belum pak jokowi menutup tiktok shop karena beberapa hari ini ada keluhan pasar tanah abang sepi padahal tiktok shop ditutup tidak jamin tanah abang jadi ramai lagi pada buru amatnegatif,Negatif
tiktokshop ditutup karena pemerintah ga bisa mencegah aliran import produk murah yg mengancam umkm lokal baik.  dan tentu saja faktor daya beli yg nurun ini kerasa banget. Cek aja deh kenalan mu yg punya bisnis,tiktok shop ditutup karena pemerintah tidak bisa mencegah aliran import produk murah yang mengancam umkm lokal baik dan tentu saja faktor daya beli yang nurun ini kerasa sekali cek saja deh kenalan mu yang punya bisnis,Positif
Online shop yang ditutup itu tiktok aja kan?,online shop yang ditutup itu tiktok saja kan,Positif
"Apa benar TikTok Shop"" mau ditutup padahal dari situ aku belanja irit 30% semoga ini bukan politik menjelang pemilu   #save #AniesMuhaimin2024"";2;positif,,,,,,,,,,,,,,,",apa benar tiktok shop mau ditutup padahal dari situ saya belanja irit semoga ini bukan politik menjelang pemilu positif,Positif
"Belum pernah belanja di Tiktok Shop, eh udah mau ditutup aja.",belum pernah belanja di tiktok shop eh sudah mau ditutup saja,Negatif
"Setelah Tiktok Shop ditutup, ada gak yang mikir nasib orang-orang dan UMKM yang selama ini menggantungkan hidup jualan di sana? Saya lihat beberapa video mereka yang menjerit dan sedih karena keputusan penutupan itu. #tiktokshop",setelah tiktok shop ditutup ada tidak yang mikir nasib orang orang dan umkm yang selama ini menggantungkan hidup jualan di sana saya lihat beberapa video mereka yang menjerit dan sedih karena keputusan penutupan itu,Negatif
"Creative agency ketar ketir tiktokshop ditutup. Itulah knp kita hrus hidup mengikuti perkembangan zaman ygy. Harus bisa bersaing, bukan kalo merasa kalah, yg lain suruh ikutan kalah jg. LOL.",creative agency ketar ketir tiktok shop ditutup itulah kenapa kita harus hidup mengikuti perkembangan zaman ygy harus bisa bersaing bukan kalau merasa kalah yang lain suruh ikutan kalah juga tertawa,Positif
gila tiktok shop mau ditutup trs sopi live promonya udah jauh mengecil dari sebelumnya,gila tiktok shop mau ditutup terus shopee live promonya sudah jauh mengecil dari sebelumnya,Negatif
"Daya beli yang turun, tiktokshop yang ditutup. #numpangketawa",daya beli yang turun tiktok shop yang ditutup,Negatif
"besok tiktokshop ditutup ðŸ˜”, tetep gabakal bikin tanah abang jadi rame (yg diperhatiin cuma tanah abang, yg lain gmna?) LOL masi ada shopee, tokopedia etc",besok tiktok shop ditutup tetep gabakal bikin tanah abang jadi ramai yang diperhatiin cuma tanah abang yang lain bagaimana tertawa masih ada shopee tokopedia etc,Positif
Buru buru cek tiktok shop sebelum ditutup ðŸ™ðŸ¼ kali aja dapet diskon banyak ðŸ™ðŸ¼ #makmakgakmaurugi,buru buru cek tiktok shop sebelum ditutup kali saja dapat diskon banyak,Negatif
"Udah banyak postingan iklan judi online di berbagai macam sosmed tp kominfo diem aja, giliran tiktok shop langsung ditutup",sudah banyak postingan iklan judi online di berbagai macam sosial media tetapi kominfo diam saja giliran tiktok shop langsung ditutup,Positif
"Sejak ada Tiktokshop, produk kami semakin dikenal apalagi berjualan saat live penjualannya pun semakin meningkat  #KamiUMKMdiTiktok rasa Tiktokshop sangat membantu penjualan kami, jadi kalo ditutup itu sangat disayangkan sekali, akan sgt berdampak jg bagi UMKM lainnya @jokowi",sejak ada tiktok shop produk kami semakin dikenal apalagi berjualan saat live penjualannya pun semakin meningkat rasa tiktok shop sangat membantu penjualan kami jadi kalau ditutup itu sangat disayangkan sekali akan sangat berdampak juga bagi umkm lainnya,Positif
TiktokShop bakal ditutup beneran dahal gue sering beli karena emang banyak promonya,tiktok shop bakal ditutup benar dahal saya sering beli karena memang banyak promonya,Positif
Itu tiktok shop bisa ditutup beneran kah? Ya bisa kali itu Judi Judi online itu sekalian kalian apakan gitu supaya bagaimana. Bisa kali lah.,itu tiktok shop bisa ditutup benar kah iya bisa kali itu judi judi online itu sekalian kalian apakan begitu supaya bagaimana bisa kali lah,Positif
Tiktok shop ditutup.. Berarti judi slot bntr lagi juga tutup,tiktok shop ditutup berarti judi slot  bentar lagi juga tutup,Negatif
Para pejabat sok tau akan membuat ekonomi tambah berantakan.  Saya justru melihat banyak sekali keluarga di sekeliling saya yang ga mati kelaparan karena jualan online di live tiktok dan shopee. Iya ga si? Ekonomi Retail Tak Bangkit Meski TikTok Shop Ditutup -â€¦,para pejabat sok tahu akan membuat ekonomi tambah berantakan saya justru melihat banyak sekali keluarga di sekeliling saya yang tidak mati kelaparan karena jualan online di live tiktok dan shopee iya tidak si ekonomi retail tidak bangkit meski tiktok shop ditutup,Positif
Tiktokshop ditutup apa lantas pasar tradisional jadi rame? Dunia sudah berubah manteman..,tiktok shop ditutup apa lantas pasar tradisional jadi ramai dunia sudah berubah manteman,Negatif
"orang2 yg jualan di tiktok shop bilang, org yg jualan offline harus kreatif ðŸ¤”, kalau tiktok shop ditutup kata2 ini gw balikin ke mereka gimana? kan kreatif tuh katanya",orang yang jualan di tiktok shop bilang orang yang jualan offline harus kreatif kalau tiktok shop ditutup kata ini saya kembalikan ke mereka bagaimana kan kreatif tuh katanya,Positif
"Tiktok shop ditutup. Kita tunggu dulu efeknya gimana. Kalo misal, tetep ga ngaruh ke situasi toko2 di tanah abang, kira2 apalagi ya yg tepat perlu dilakukan?",tiktok shop ditutup kita tunggu dulu efeknya bagaimana kalau misal tetep tidak berpengaruh ke situasi toko di tanah abang kira apalagi iya yang tepat perlu dilakukan,Positif
tiktok shop mau ditutup soalnya takut melempem,tiktok shop mau ditutup soalnya takut melempem,Negatif
"Eh, sudah mau tanggal 30 September nih. Serius nggak ada yg mau bahas soal PKI (G30S)? Masak kalian cuma bahas mas Kaesang doank. Itu Tiktok Shop sdh ditutup, knp nggak ada yg ribut? Banyak penjual dan influencer panik, cuan ngedrop total. Saya sih cuma ingin $DOGE merangkak naik",eh sudah mau tanggal september ini serius tidak ada yang mau bahas soal pki gs masak kalian cuma bahas mas kaesang doank itu tiktok shop sudah ditutup kenapa tidak ada yang ribut banyak penjual dan influencer panik cuan ngedrop total saya sih cuma ingin doge merangkak naik,Positif
Mendengar tiktok shop mau ditutup. Ibuku mulai galau ðŸ™‚,mendengar tiktok shop mau ditutup ibuku mulai galau,Netral
"padahal pendapatanku buat biaya idup, makan, kuliah, sampe bangu dikitâ€ ke orang rumah cuma dari sana. pliss #tiktokshop jangan ditutup :(",padahal pendapatanku buat biaya idup makan kuliah sampai bangu dikit ke orang rumah cuma dari sana tolong jangan ditutup,Negatif
"Bodo lah tiktokshop ditutup, pokoknya malam ini dah CO 3 produk, agak banyak diskon kak, mariiii..",bodoh lah tiktok shop ditutup pokoknya malam ini deh check out produk agak banyak diskon kak mariiii,Negatif
Apa bner tiktok shop mau ditutup hmmmm,apa benar tiktok shop mau ditutup hmmmm,Positif
"Saya kira yang dilarang itu tiktok officialnya tidak boleh jualan dan jualan barang impor, kalo barang lokal di tiktokshop harusnya oke2 saja. Kalo yang ditutup platformnya banyak lho yang mengais rezeki dari sini @Kemendag rakyat kecil dari sini",saya kira yang dilarang itu tiktok officialnya tidak boleh jualan dan jualan barang impor kalau barang lokal di tiktok shop harusnya oke saja kalau yang ditutup platformnya banyak loh yang mengais rezeki dari sini rakyat kecil dari sini,Positif
tiktokshop mau ditutup soalnya udah malem,tiktok shop mau ditutup soalnya sudah malam,Positif
"Tiktok shop ditutup, masih ada shopee, padahal ciwi-ciwi indo tuh bisa dibilang si paling shopee, beli di mana tempat pasti langsung batin 'di shopee lebih murah' dan emang berakhir beli di shopee",tiktok shop ditutup masih ada shopee padahal ciwi ciwi indo tuh bisa dibilang si paling shopee beli di mana tempat pasti langsung batin di shopee lebih murah dan memang berakhir beli di shopee,Positif
"Kalo TikTok shop ditutup, kemungkinan banyak host dan talent olshop yang bakal di-PHK. Nambah masalah baru lagi deh ðŸ¤·ðŸ»â€â™€ï¸",kalau tiktok shop ditutup kemungkinan banyak host dan talent toko online yang bakal di phk tambah masalah baru lagi deh,Positif
Tiktokshop Indon harini rasmi ditutup? Selamat survive la..,tiktok shop indonesia harini resmi ditutup selamat survive lah,Negatif
"Tiktok shop ditutup, semoga daya beli naik. dan rame lagi Tanah Abang dkk. Semogaâ€¦",tiktok shop ditutup semoga daya beli naik dan ramai lagi tanah abang dan kawan-kawan semoga,Negatif
"Soal TikTok Shop yang ditutup itu sama sekali ga ngaruh dan gabikin tanah abang rame lagi. Karena 1. Aksi pemerintah telat  2. Mulai dari insiden covid kemaren harga barang semuanya naik dan mahal, masyarakat dituntut cerdas dan pemilih dimana opsi yang paling murah yang dibeli",soal tiktok shop yang ditutup itu sama sekali tidak berpengaruh dan gabikin tanah abang ramai lagi karena aksi pemerintah terlambat mulai dari insiden covid kemarin harga barang semuanya naik dan mahal masyarakat dituntut cerdas dan pemilih dimana opsi yang paling murah yang dibeli,Negatif
"TikTok Shop Indonesia ditutup. Yaampun pemerintah, tidak pernah tidak mengecewakan â˜ºï¸  Sejujurnya hati ini udah kebal karena kecewa. Tapi kali ini, tentu menyangkut mata pencaharian saya.  Kok bisa sih pikiran solusinya kaya gt? Lagi2 nolak disruptive innovation.",tiktok shop indonesia ditutup yaampun pemerintah tidak pernah tidak mengecewakan sejujurnya hati ini sudah kebal karena kecewa tetapi kali ini tentu menyangkut mata pencaharian saya kok bisa sih pikiran solusinya seperti begitu lagi nolak disruptive innovation,Negatif
"Tiktokshop ditutup, toko offline bkl rame lagi? Kemungkinannya kecil. Pling pindah ke shopee , toped / lazada yg belanja krn orang udh biasa blanja online. Gratis ongkir, bs banding2in harga lbih mdah &amp  tk online masih sllu lbh murah.   Sblm ada tiktokshop jga toko offline udh lesu.",tiktok shop ditutup toko offline akan ramai lagi kemungkinannya kecil paling pindah ke shopee tokopedia lazada yang belanja karena orang sudah biasa belanja online gratis ongkos kirim bisa bandingin harga lebih mudah amp tidak online masih selalu lebih murah sebelum ada tiktok shop juga toko offline sudah lesu,Positif
"Tiktokshop ditutup, tapi kenapa judi online masih eksis? Perputaran ekonomi negara yang lari ke situ padahal 200 triliun",tiktok shop ditutup tetapi kenapa judi online masih eksis perputaran ekonomi negara yang lari ke situ padahal triliun,Positif
"tiktok shop mau ditutup, kaga setuju sih banyak UMKM yang sekarang bergantung di tiktok shop juga",tiktok shop mau ditutup tidak setuju sih banyak umkm yang sekarang bergantung di tiktok shop juga,Positif
"Tiktok Shop ditutup ga menjamin pasar Citayem, ITC, dMall, Detos, Ramayana bakal Rame, persoalannya itu di daya beli masyarakat yg memang menurun, hampir disemua sektor",tiktok shop ditutup tidak menjamin pasar citayem itc dmall detos ramayana bakal ramai persoalannya itu di daya beli masyarakat yang memang menurun hampir disemua sektor,Negatif
"Tiktok shop itu yg blanja &amp  jualan orang se-indonesia, tanah abang yg belanja &amp  jualan orang itu2 aja. Serius mau tutup tiktok shop karena permintaan pedagang tanah abang?  lagipula apa iya klo tiktok shop ditutup tanah abang bakal rame lagi?",tiktok shop itu yang belanja amp jualan orang se indonesia tanah abang yang belanja amp jualan orang itu saja serius mau tutup tiktok shop karena permintaan pedagang tanah abang lagipula apa iya kalau tiktok shop ditutup tanah abang bakal ramai lagi,Negatif
Jadi tiktokshop jadinya kapan ditutup? ðŸ¤£,jadi tiktok shop jadinya kapan ditutup,Negatif
"Ini negara doyan banget ngasih anti depressan ketimbang bikin obatnya. Tiktok shop ditutup, ga akan signifikan. Uda banyak orang ngeluh biaya makan sehari biasanya 30rb, sekarang jadi 50rb. Sementara rasio pendapatannya naik cuma 10% per tahun. Dan ada fenomena menarik lainnya",ini negara suka sekali memberikan anti depressan ketimbang bikin obatnya tiktok shop ditutup tidak akan signifikan sudah banyak orang mengeluh biaya makan sehari biasanya ribu sekarang jadi ribu sementara rasio pendapatannya naik cuma per tahun dan ada fenomena menarik lainnya,Positif
Huru hara tiktok shop mau ditutup,huru hara tiktok shop mau ditutup,Positif
Bru juga ngerasain jadi afiliator. Udh mau ditutup aja tiktokshop ðŸ˜­ðŸ¤£,baru juga ngerasain jadi afiliator sudah mau ditutup saja tiktok shop,Negatif
"Tiktok shop kalo ditutup malah membuka masalah baru, bakal banyak pengangguran baru termasuk gueee. Banyak bgtt yang kerja jadi host live, content creator, tim live. Semoga yang terbaik untuk apapun ituðŸ¥ºðŸ™",tiktok shop kalau ditutup bahkan membuka masalah baru bakal banyak pengangguran baru termasuk gueee banyak sangat yang kerja jadi host live content creator tim live semoga yang terbaik untuk apapun itu,Positif
"Lagi rame banget masalah TikTokshop dilarang. Sebenarnya emang ada beberapa yang dirugikan dari larangan jualan di TikTok. Cuma buat jangka panjang emang lebih baik ditutup. Kenapa? Karena sangat merugikan Indonesia jika diliat secara lebih luas. Dari yang ga bayar pajak, sampai-",lagi ramai sekali masalah tiktok shop dilarang sebenarnya memang ada beberapa yang dirugikan dari larangan jualan di tiktok cuma buat jangka panjang memang lebih baik ditutup kenapa karena sangat merugikan indonesia jika diliat secara lebih luas dari yang tidak bayar pajak sampai,Positif
"lagi rame kasus tiktok shop yang katanya ngerugiin pedagang kecil. sebenernya mah misal tiktok shop ditutup juga belum tentu bikin mereka rame sih, menurutku yang penting regulasi harganya aja ditentuin, jangan sampai ada yang gap nya kejauhan.",lagi ramai kasus tiktok shop yang katanya ngerugiin pedagang kecil sebenarnya mah misal tiktok shop ditutup juga belum tentu bikin mereka ramai sih menurutku yang penting regulasi harganya saja ditentuin jangan sampai ada yang gap nya kejauhan,Positif
tiktok shop ditutup juga gua tetep mager sih belanja langsung ke tanah abang.,tiktok shop ditutup juga saya tetep mager sih belanja langsung ke tanah abang,Netral
blm kesampean beli granola sama fitbar di tiktokshop. udh keburu ditutupðŸ˜­ðŸ˜­ðŸ˜­,belum kesampaian beli granola sama fitbar di tiktok shop sudah terlanjur ditutup,Positif
"Lucu jg ya pemerintah kita nih, tiktok shop ditutup tp judi online dan pinjol ilegal mah ttp ae melalang bebas ðŸ™„",lucu juga iya pemerintah kita ini tiktok shop ditutup tetapi judi online dan pinjaman online ilegal mah tetap saja melalang bebas,Positif
"Tiktokshop ditutup ga akan menggairahkan tanah abang dan umkm kembali, mereka hanya akan pindah platform, entah tiktok bkin lg, atau ke orange/hijau/ungu dll.. same thing.. regulasi import dan percepatan industrialisasi ini yg harus dikebut, bukan nutup lapak orang..",tiktok shop ditutup tidak akan menggairahkan tanah abang dan umkm kembali mereka hanya akan pindah platform entah tiktok bikin lagi atau ke orangehijauungu dan lain-lain same thing regulasi import dan percepatan industrialisasi ini yang harus dikebut bukan nutup lapak orang,Negatif
Memang tiktokshop ditutup toko2 di Tanah Abang jadi rame lagi? Enggak kan.  Kan.,memang tiktok shop ditutup toko di tanah abang jadi ramai lagi tidak kan kan,Positif
emg tiktok shop mau ditutup kapann,memang tiktok shop mau ditutup kapann,Positif
"Tiktok shop ditutup - Ga ada efek apa2 ke GOTO/BUKA/BELI turun smua samsek ga nolong, ga ada sentimen positif ktk kmrn ihsg ditarik turun. SE di NYSE naik tp mgkn ga bukan gegara soal ini. Banyak yg terkecoh",tiktok shop ditutup tidak ada efek apa ke gotobukabeli turun semua sama sekali tidak tolong tidak ada sentimen positif ketika kemarin ihsg ditarik turun se di nyse naik tetapi mungkin tidak bukan gegara soal ini banyak yang terkecoh,Negatif
hoiii tiktok shop bnrn mauu ditutup kahh?,hoiii tiktok shop benaran mauu ditutup kahh,Negatif
"gtau kenapa yah dari kmrin pro kontra tiktok shop.  Kasian untuk yang bener2 mulai dari bawah apalagi kaya aku baru aja mau mulai untuk usaha dari 0 utk membesarkan produk kami di tiktok shop dan tiba2 mau ditutup aja? Pak @jokowi mohon diperhatikan,",tidak tahu kenapa yah dari kemarin profesional kontra tiktok shop kasian untuk yang benar mulai dari bawah apalagi seperti saya baru saja mau mulai untuk usaha dari untuk membesarkan produk kami di tiktok shop dan tiba mau ditutup saja pak mohon diperhatikan,Negatif
"gue gatau lg deh kl tiktok shop tutup, karir gue mentok jg brti ky nya disini hrs siap2 backup ðŸ¥² makasih deh yg dh bikin peraturan tiktok shop hrs ditutup â˜ºï¸ðŸ™",saya gatau lagi deh kalau tiktok shop tutup karir saya mentok juga brti seperti nya disini harus siap backup terima kasih deh yang sudah bikin peraturan tiktok shop harus ditutup,Positif
Gakpapa lah tiktok shop ditutup kan masih ada toko bandos,gakpapa lah tiktok shop ditutup kan masih ada toko bandos,Positif
"haduh aslii masalah tiktokshop ni ribet bgt dah, sekarang ditutup yauda nying kek lu pada dulu kaga ngumpulin link dibio buat reffer ke affiliate shopee ???",haduh aslii masalah tiktok shop ini ribet sangat deh sekarang ditutup yauda nying seperti kamu pada dulu tidak ngumpulin link dibio buat reffer ke affiliate shopee,Negatif
