Tweet,Sentimen,Label
"Sedih tiktok shop ditutup, jadi gak bisa beli dongkrak imitasi lagi",Negatif,0
Baru juga belajar tiktok affiliate. Tiktok shop ditutup hem...,Negatif,0
Tiktok Shop ditutup kagak juga gak bakal ngaruh banyak,Positif,2
"plis buru2 tiktokshop ditutup, biar kpi gw berkurangðŸ˜µâ€ðŸ’«",Negatif,0
"Dgn artis masuk TikTok Shop hrsnya bikin regulasi baru, bukannya nutup TikTok Shop nya garaÂ² Tanah Abang ga laku. Lho, artis masuk yutub aja YouTube nye ga ditutup, yutuber kecil view nya sedih padahal.  Nutup TikTok Shop ga bikin Tanah Abang rame lagi, trust me.",Negatif,0
Pemerintah tidak belajar dari pengalaman sebelumnya. Kl TikTok shop ditutup itu hanya akan mengalihkan traffic ke saluran lain. Marketplace lain sudah siap sedia mengambil alih. Nah.. jika ada marketplace yg kemudian hari setrending TikTok apa akan diminta tutup juga?  Next..,Negatif,0
"tentang TikTok shop yang ditutup gue sih nggak tau ya, tapi pengen cerita dikit aja kalo TikTok shop nolongin gue pas ada satu buku yang udah nggak dijual di toko buku, masalahnya buku yang di online shop ini harganya nggak ngotak.",Negatif,0
Tiktok shop ditutup ga bikin otomatis tanah abang rame. Perputaran di tanah abang insignifikan sama ramenya tiktok shop. Kenapa ya kira2? Ecommerce kah yg geter? Atau ga ada peraturan jelas buat tiktok â€œshopâ€ nya?,Negatif,0
"Mas kaesang dua hari masuk partai udah jadi ketum, 2 hari kenalan sama anggota2 lain juga pastinya belum  Pak jokowi menutup tiktok shop karena beberapa hari ini ada keluhan pasar tanah abang sepi"" padahal tiktok shop ditutup ga jamin tanah abang jadi rame lagi  Pada buru2 amat."";0;negatif,,,,,,,,,,,,,,,",Negatif,0
tiktokshop ditutup karena pemerintah ga bisa mencegah aliran import produk murah yg mengancam umkm lokal baik.  dan tentu saja faktor daya beli yg nurun ini kerasa banget. Cek aja deh kenalan mu yg punya bisnis,Positif,2
Online shop yang ditutup itu tiktok aja kan?,Positif,2
"Apa benar TikTok Shop"" mau ditutup padahal dari situ aku belanja irit 30% semoga ini bukan politik menjelang pemilu   #save #AniesMuhaimin2024"";2;positif,,,,,,,,,,,,,,,",Positif,2
"Belum pernah belanja di Tiktok Shop, eh udah mau ditutup aja.",Negatif,0
"Setelah Tiktok Shop ditutup, ada gak yang mikir nasib orang-orang dan UMKM yang selama ini menggantungkan hidup jualan di sana? Saya lihat beberapa video mereka yang menjerit dan sedih karena keputusan penutupan itu. #tiktokshop",Negatif,0
"Creative agency ketar ketir tiktokshop ditutup. Itulah knp kita hrus hidup mengikuti perkembangan zaman ygy. Harus bisa bersaing, bukan kalo merasa kalah, yg lain suruh ikutan kalah jg. LOL.",Positif,2
gila tiktok shop mau ditutup trs sopi live promonya udah jauh mengecil dari sebelumnya,Negatif,0
"Daya beli yang turun, tiktokshop yang ditutup. #numpangketawa",Negatif,0
"besok tiktokshop ditutup ðŸ˜”, tetep gabakal bikin tanah abang jadi rame (yg diperhatiin cuma tanah abang, yg lain gmna?) LOL masi ada shopee, tokopedia etc",Positif,2
Buru buru cek tiktok shop sebelum ditutup ðŸ™ðŸ¼ kali aja dapet diskon banyak ðŸ™ðŸ¼ #makmakgakmaurugi,Negatif,0
"Udah banyak postingan iklan judi online di berbagai macam sosmed tp kominfo diem aja, giliran tiktok shop langsung ditutup",Positif,2
"Sejak ada Tiktokshop, produk kami semakin dikenal apalagi berjualan saat live penjualannya pun semakin meningkat  #KamiUMKMdiTiktok rasa Tiktokshop sangat membantu penjualan kami, jadi kalo ditutup itu sangat disayangkan sekali, akan sgt berdampak jg bagi UMKM lainnya @jokowi",Positif,2
TiktokShop bakal ditutup beneran dahal gue sering beli karena emang banyak promonya,Positif,2
Itu tiktok shop bisa ditutup beneran kah? Ya bisa kali itu Judi Judi online itu sekalian kalian apakan gitu supaya bagaimana. Bisa kali lah.,Positif,2
Tiktok shop ditutup.. Berarti judi slot bntr lagi juga tutup,Negatif,0
Para pejabat sok tau akan membuat ekonomi tambah berantakan.  Saya justru melihat banyak sekali keluarga di sekeliling saya yang ga mati kelaparan karena jualan online di live tiktok dan shopee. Iya ga si? Ekonomi Retail Tak Bangkit Meski TikTok Shop Ditutup -â€¦,Positif,2
Tiktokshop ditutup apa lantas pasar tradisional jadi rame? Dunia sudah berubah manteman..,Negatif,0
"orang2 yg jualan di tiktok shop bilang, org yg jualan offline harus kreatif ðŸ¤”, kalau tiktok shop ditutup kata2 ini gw balikin ke mereka gimana? kan kreatif tuh katanya",Positif,2
"Tiktok shop ditutup. Kita tunggu dulu efeknya gimana. Kalo misal, tetep ga ngaruh ke situasi toko2 di tanah abang, kira2 apalagi ya yg tepat perlu dilakukan?",Positif,2
tiktok shop mau ditutup soalnya takut melempem,Negatif,0
"Eh, sudah mau tanggal 30 September nih. Serius nggak ada yg mau bahas soal PKI (G30S)? Masak kalian cuma bahas mas Kaesang doank. Itu Tiktok Shop sdh ditutup, knp nggak ada yg ribut? Banyak penjual dan influencer panik, cuan ngedrop total. Saya sih cuma ingin $DOGE merangkak naik",Positif,2
Mendengar tiktok shop mau ditutup. Ibuku mulai galau ðŸ™‚,Netral,1
"padahal pendapatanku buat biaya idup, makan, kuliah, sampe bangu dikitâ€ ke orang rumah cuma dari sana. pliss #tiktokshop jangan ditutup :(",Negatif,0
"Bodo lah tiktokshop ditutup, pokoknya malam ini dah CO 3 produk, agak banyak diskon kak, mariiii..",Negatif,0
Apa bner tiktok shop mau ditutup hmmmm,Positif,2
"Saya kira yang dilarang itu tiktok officialnya tidak boleh jualan dan jualan barang impor, kalo barang lokal di tiktokshop harusnya oke2 saja. Kalo yang ditutup platformnya banyak lho yang mengais rezeki dari sini @Kemendag rakyat kecil dari sini",Positif,2
tiktokshop mau ditutup soalnya udah malem,Positif,2
"Tiktok shop ditutup, masih ada shopee, padahal ciwi-ciwi indo tuh bisa dibilang si paling shopee, beli di mana tempat pasti langsung batin 'di shopee lebih murah' dan emang berakhir beli di shopee",Positif,2
"Kalo TikTok shop ditutup, kemungkinan banyak host dan talent olshop yang bakal di-PHK. Nambah masalah baru lagi deh ðŸ¤·ðŸ»â€â™€ï¸",Positif,2
Tiktokshop Indon harini rasmi ditutup? Selamat survive la..,Negatif,0
"Tiktok shop ditutup, semoga daya beli naik. dan rame lagi Tanah Abang dkk. Semogaâ€¦",Negatif,0
"Soal TikTok Shop yang ditutup itu sama sekali ga ngaruh dan gabikin tanah abang rame lagi. Karena 1. Aksi pemerintah telat  2. Mulai dari insiden covid kemaren harga barang semuanya naik dan mahal, masyarakat dituntut cerdas dan pemilih dimana opsi yang paling murah yang dibeli",Negatif,0
"TikTok Shop Indonesia ditutup. Yaampun pemerintah, tidak pernah tidak mengecewakan â˜ºï¸  Sejujurnya hati ini udah kebal karena kecewa. Tapi kali ini, tentu menyangkut mata pencaharian saya.  Kok bisa sih pikiran solusinya kaya gt? Lagi2 nolak disruptive innovation.",Negatif,0
"Tiktokshop ditutup, toko offline bkl rame lagi? Kemungkinannya kecil. Pling pindah ke shopee , toped / lazada yg belanja krn orang udh biasa blanja online. Gratis ongkir, bs banding2in harga lbih mdah &amp  tk online masih sllu lbh murah.   Sblm ada tiktokshop jga toko offline udh lesu.",Positif,2
"Tiktokshop ditutup, tapi kenapa judi online masih eksis? Perputaran ekonomi negara yang lari ke situ padahal 200 triliun",Positif,2
"tiktok shop mau ditutup, kaga setuju sih banyak UMKM yang sekarang bergantung di tiktok shop juga",Positif,2
"Tiktok Shop ditutup ga menjamin pasar Citayem, ITC, dMall, Detos, Ramayana bakal Rame, persoalannya itu di daya beli masyarakat yg memang menurun, hampir disemua sektor",Negatif,0
"Tiktok shop itu yg blanja &amp  jualan orang se-indonesia, tanah abang yg belanja &amp  jualan orang itu2 aja. Serius mau tutup tiktok shop karena permintaan pedagang tanah abang?  lagipula apa iya klo tiktok shop ditutup tanah abang bakal rame lagi?",Negatif,0
Jadi tiktokshop jadinya kapan ditutup? ðŸ¤£,Negatif,0
"Ini negara doyan banget ngasih anti depressan ketimbang bikin obatnya. Tiktok shop ditutup, ga akan signifikan. Uda banyak orang ngeluh biaya makan sehari biasanya 30rb, sekarang jadi 50rb. Sementara rasio pendapatannya naik cuma 10% per tahun. Dan ada fenomena menarik lainnya",Positif,2
Huru hara tiktok shop mau ditutup,Positif,2
Bru juga ngerasain jadi afiliator. Udh mau ditutup aja tiktokshop ðŸ˜­ðŸ¤£,Negatif,0
"Tiktok shop kalo ditutup malah membuka masalah baru, bakal banyak pengangguran baru termasuk gueee. Banyak bgtt yang kerja jadi host live, content creator, tim live. Semoga yang terbaik untuk apapun ituðŸ¥ºðŸ™",Positif,2
"Lagi rame banget masalah TikTokshop dilarang. Sebenarnya emang ada beberapa yang dirugikan dari larangan jualan di TikTok. Cuma buat jangka panjang emang lebih baik ditutup. Kenapa? Karena sangat merugikan Indonesia jika diliat secara lebih luas. Dari yang ga bayar pajak, sampai-",Positif,2
"lagi rame kasus tiktok shop yang katanya ngerugiin pedagang kecil. sebenernya mah misal tiktok shop ditutup juga belum tentu bikin mereka rame sih, menurutku yang penting regulasi harganya aja ditentuin, jangan sampai ada yang gap nya kejauhan.",Positif,2
tiktok shop ditutup juga gua tetep mager sih belanja langsung ke tanah abang.,Netral,1
blm kesampean beli granola sama fitbar di tiktokshop. udh keburu ditutupðŸ˜­ðŸ˜­ðŸ˜­,Positif,2
"Lucu jg ya pemerintah kita nih, tiktok shop ditutup tp judi online dan pinjol ilegal mah ttp ae melalang bebas ðŸ™„",Positif,2
"Tiktokshop ditutup ga akan menggairahkan tanah abang dan umkm kembali, mereka hanya akan pindah platform, entah tiktok bkin lg, atau ke orange/hijau/ungu dll.. same thing.. regulasi import dan percepatan industrialisasi ini yg harus dikebut, bukan nutup lapak orang..",Negatif,0
Memang tiktokshop ditutup toko2 di Tanah Abang jadi rame lagi? Enggak kan.  Kan.,Positif,2
emg tiktok shop mau ditutup kapann,Positif,2
"Tiktok shop ditutup - Ga ada efek apa2 ke GOTO/BUKA/BELI turun smua samsek ga nolong, ga ada sentimen positif ktk kmrn ihsg ditarik turun. SE di NYSE naik tp mgkn ga bukan gegara soal ini. Banyak yg terkecoh",Negatif,0
hoiii tiktok shop bnrn mauu ditutup kahh?,Negatif,0
"gtau kenapa yah dari kmrin pro kontra tiktok shop.  Kasian untuk yang bener2 mulai dari bawah apalagi kaya aku baru aja mau mulai untuk usaha dari 0 utk membesarkan produk kami di tiktok shop dan tiba2 mau ditutup aja? Pak @jokowi mohon diperhatikan,",Negatif,0
"gue gatau lg deh kl tiktok shop tutup, karir gue mentok jg brti ky nya disini hrs siap2 backup ðŸ¥² makasih deh yg dh bikin peraturan tiktok shop hrs ditutup â˜ºï¸ðŸ™",Positif,2
Gakpapa lah tiktok shop ditutup kan masih ada toko bandos,Positif,2
"haduh aslii masalah tiktokshop ni ribet bgt dah, sekarang ditutup yauda nying kek lu pada dulu kaga ngumpulin link dibio buat reffer ke affiliate shopee ???",Negatif,0
Keputusan teguh Bahlil: Menolak izin TikTok Shop untuk melindungi UMKM. Semangat untuk bisnis lokal! @jokowi @CNN BahlilLindungiUMKM #TiktokShop,Netral,1
"Saya berjuang agar mereka yang tidak bisa, tidak akan pernah hidup dalam ketakutan BahlilLindungi UMKM  #TiktokShop",Negatif,0
"Jayalah para pejuang ekonomi, kalian adalah pahlawan, bukan hanya untukdiri sndiri dan keluarga  tapi juga untuk bangsa dan negeri. BahliLindungi UMKM #TiktokShop @Gerindra @Golkar5",Positif,2
Pelindung tidak bisa melindungi seseorang yang tidak ingin dilindungi BahlilLindungi UMKM  #TiktokShop,Netral,1
"Ketika kamu mendukung bisnis kecil, kamu mendukung mimpi. BahliLindungi UMKM #TiktokShop @FiersaBesari",Negatif,0
Barang jualan di Tiktok Shop rupanya banyak dibanjiri oleh produk impor dengan skema penjualan â€˜cross borderâ€™ (penjualan antar negara). BahlilLindungi UMKM   #TikTokShop,Positif,2
"Sistem seperti tiktok shop ini tidak sehat, jauh dari semangat dan kondisi persaingan usaha/dagang yang sehat untuk semua pihak. BahlilLindungi UMKM   #TiktokShop",Positif,2
"sistem jualan diÂ TikTokÂ ini tidak hanya dilakukan oleh pedagang atau pebisnis kelas atas, tetapi para artis juga ikut melakukan hal yang sama dan itu disebut mengancam ekosistem pertumbuhan UMKM di Indonesia, terkhusus UMKM yang berjualn offline. BahlilLindungi UMKM   #TiktokShop",Netral,1
Mari kita sama sama mendukung untuk kebaikan negara kita. BahlilLindungi UMKM   #TiktokShop,Positif,2
Langkah tegas Bahlil dalam menolak izin TikTok Shop adalah perisai kuat bagi UMKM. Teruslah bersama memajukan bisnis lokal! @ganjarpranowo @KompasTV BahlilLindungiUMKM #TiktokShop,Positif,2
Suka dengan cara pak Bahlil ia tegas dengan hal yang akan merugikan rakyat kecil. BahlilLindungi UMKM   #TiktokShop,Negatif,0
"sistem jualan diÂ TikTokÂ ini tidak hanya dilakukan oleh pedagang atau pebisnis kelas atas, tetapi para artis juga ikut melakukan hal yang sama dan itu disebut mengancam ekosistem pertumbuhan UMKM di Indonesia, terhusus UMKM yang berjualan offline. BahlilLindungi UMKM   #TiktokShop",Netral,1
"#TiktokShop dinilai sangat merugikan negara, salah satunya barang jualan di tiktok dibanjiri oleh produk impor, dalam hal ini ternyata banyak yang tidak bayar pajak.  BahlilLindungi UMKM",Positif,2
"Selain risiko yang muncul dari algoritma Projek S. Tiktok, ada lagi algoritma lain dari Tiktok yang juga menjadi masalah bagi persaingan usaha: algoritma Tiktok memprioritaskan produk tertentu (dari China) dan menenggelamkan produk kompetitornya. BahlilLindungi UMKM   #TiktokShop",Positif,2
"aktivitas jualan live di TikTok ini sangat berpengaruh pada pasar UMKM, baik yang online maupun offline. BahlilLindungi UMKM   #TiktokShop",Positif,2
Semoga terus banyak pemimpin yang tegas seperti pak Bahlil untuk membela rakyat. BahlilLindungi UMKM   #TiktokShop,Positif,2
"Keputusan tegas Bahlil: Melindungi UMKM dengan menolak izin TikTok Shop. Bersama, kita dorong kemajuan bisnis lokal! @ridwankamil @CNNIndonesia BahlilLindungiUMKM #TiktokShop",Negatif,0
Langkah tegas Bahlil untuk menolak izin TikTok Shop adalah bentuk nyata perlindungan terhadap UMKM. Mari bersama memajukan bisnis lokal! @DediMulyadi71 @Golkar5 BahlilLindungiUMKM #TiktokShop,Negatif,0
Semoga ke depan lebih baik lagi. Indonesia bisa maju dan menjadi negara dengan masyarakatnya yang sejahtera. BahlilLindungi UMKM #TiktokShop,Positif,2
Mari kita sama sama apresiasi ketegasan Bahlil untuk mendukung UMKM dan menolak Tiktok shop. BahlilLindungi UMKM   #TiktokShop,Netral,1
"Pantesan di Tiktok selalu murah, berarti alasannya sudah jelas mereka tidak bayar pajak. BahlilLindungi UMKM   #TiktokShop",Positif,2
Ayoo terus dukung UMKM demi kemajuan ekonomi nasional dan kesejahteraan rakyat. BahlilLindungi UMKM   #TiktokShop,Netral,1
Dengan adanya Tiktok yang selalu murah dan diserbu pembeli sudah jelas akan membunuh UMKM. BahlilLindungi UMKM   #TiktokShop,Positif,2
Keputusan tegas Bahlil: Melindungi UMKM dengan menolak izin TikTok Shop. Mari bersama memajukan bisnis lokal! @jokowi @kumparan BahlilLindungiUMKM #TiktokShop,Negatif,0
"Tindakan tegas Bahlil: Menolak izin TikTok Shop, membela UMKM. Teruslah bersama memperkuat bisnis lokal! @susipudjiastuti @KompasTV BahlilLindungiUMKM #TiktokShop",Negatif,0
Sedih liat kondisi pedagang tanah abang yang kosong lapaknya karena kalah saing.Platform tiktok ini sangat merusak harga.Persaingan jadi tidak sehat. Pak BahliLindungi UMKM dengan tidak memberikan izin kepada #TiktokShop untuk menjadi e-commerce @PDI_Perjuangan @gerind,Negatif,0
Mentang2 tiktok shop mau dihapuskan  harganya miring semua kan aku yg BU harus menahan jari ini ya ðŸ˜Œ,Positif,2
"#TiktokShop kabarnya bakal ditutup ya. Ditengah pemerintah yg mendorong pertumbuhan UMKM, tapi kalah saing sama tiktok shop yg saat ini merajalela dan menarik perhatian konsumen. Menteri investasi Bahlil Lindungi UMKM Indonesia sehingga beliau mendukung dg adanya peraturan tsb",Negatif,0
"Jadi, sebenernya masih bisa co barang di tiktokshop apa nggak sih? Kok masih banyak yang live jualan. Katanya udah ada larangan dari pemerintah ðŸ¤”",Positif,2
"Selain tidak memiliki surat izin sebagai marketplace, tiktok shop juga melakukan monopoli dagang yg menggunakan produk impor daripada produk lokal. Oleh karena itu, Menteri investasi Bahlil Lindungi UMKM dan melindungi produk lokal dengan menolak tegas adanya #TiktokShop",Negatif,0
"Tiktok shop melakukan cross border (penjualan antar negara) yang ternyata banyak yg tidak membayar pajak. Ini menyebabkan turunnya peraturan akan ditutupnya #TiktokShop . Menteri Investasi, Bahlil Lahadalia mendukung secara penuh karena Bahlil Lindungi UMKM Indonesia",Positif,2
tiktokshop bener dihapus apa?,Positif,2
"Ya betul, saya suka dengan sikat tegas nya pak Bahlil Lindungi UMKM dengan adanya kebijakan tersebut,  UMKM dan usaha lokal dapat berkembang dengan lebih baik! #TiktokShop",Positif,2
"Dengan algoritma tiktok yah dapat menentukan produk yang memilikinya engagement yang bagu, dapat membunuh para pelaku usaha lokal dan UMKM, dengan langkah bijak pak Bahlil tentunya.  Bahlil Lindungi UMKM #TiktokShop",Positif,2
Tiktok shop banyak dimonopoli pedagang besar dan nyk promo produk luar. Jadi patut didukung nih demi umkm! #TiktokShop  Bahlil Lindungi UMKM,Positif,2
"belajar dari tiktok shop , semua UMKM sebaiknya berserikat di bawah organisasi yang dapat melindungi kepentingannya",Netral,1
"kek apalah tiktokshop ni, gila kali. biasanya aku beli body serum sm liptint udh hbs ratusan ribu lah ini cm bayar 37kðŸ˜­",Negatif,0
duh pusing tiktok shop banyak diskon,Netral,1
"Tiktok shop dilarang,lah selama ini yg banyak jualan di tiktok juga UMKM di kampung yg kenalin produknya di live. Tiktok dibaned, ada marketplace yg lain.Sama aja! Teknologi gk bs di cegah, yg btl itu mikir gmana ekonomi bisa bergeliat! Di Tanah abang jg banyak yg jualan ditiktok",Positif,2
ak pgn bli kebaya buat wisuda di tiktok shop tpi tkt kembar 3 ðŸ˜­,Netral,1
"Anjirr tiktok shop beneran mau tutup:)) Kenang kenangan sebelum beneran ditutup aku co sepatu Pvn yg sdh lama di incar huhuðŸ¥² (karena harganya mendadak promo, kalo ga promo ya........)"";0;negatif,,,,,,,,,,,,,,,",Positif,2
"menurut gua ya platform seperti Tiktok shop itu gausah di tutup, melainkan batasi siapa pelaku umkm sebenarnya dan batasi untuk kalangan artis atau seleb berjualan .",Positif,2
"bukak tiktok shop, shopee tk tau nak checkout apa ðŸ˜·",Netral,1
Fenomena tiktok shop ditutup sih sebenernya tricky. Tp emg harus ditutup. Bukan mslh transisi offline to onlinenya tp bisnis jualan di tiktok shop ini gak sehat dimana tiktok mengatur segala cara agar barang2 dr china bs laku lgsg ke end customer,Negatif,0
"Di era digital ini harusnya masyarakat sudah tidak lagi berdesak-desakan belanja di pasar, harusnya lebih memudahkan masyarakat berdagang dan berbelanja, dan pedagang siap antar belanjaan konsumen door to door. #tiktokshop",Positif,2
Siapa yg sedi tiktok shop mau dihapus,Netral,1
Menyamakan tiktokshop dg marketplace facebook sih kurang tepat.,Negatif,0
"ini pengiriman paket apapun lg bermasalah ya? parah bgt masa paket gue beli dr tiktok shop ditulis udh diterima pdhl paketnya blom ada samsek, udh dicek di teras dan di sekitaran rumah, udh nanya tetangga jg ktnya gaada paket apapun!!!!!!",Negatif,0
Tiktokshop ditutup juga ngga bakalan bikin tanah abang buka,Negatif,0
pokoknya aku adalah orang paling sedih tiktok shop tutup,Negatif,0
"Ketika menteri koperasi UMKM ditanya terkait UMKM yang sudah mulai masuk TikTok shop, jawabannya hilir mudik sehingga pertanyaan pembawa acara Metrotv tidak terjawab sepenuhnya.",Netral,1
"Emang algoritma tiktok jahat banget sih, yg dimajuin produk negara dia doang, lah kita yg pengen cuan dari tiktok juga jelas kalah karena permainan algoritma dia. Bagus sih Bahlil lindungi UMKM #TiktokShop",Negatif,0
tiktok shop mau diapus sdgkan kerjaan w ngandelin itu semuaðŸ˜€,Positif,2
Gw mau JAJAN. Tolong beri tahu saya apa yang bisa dibeli di tiktok shop sebelum tutup!?????,Netral,1
"Imo, tiktok shop d banned ga sepenuhnya jadi solusi,krn e-commerce masih ada. Org org pati tetep nyari yg murah ke e-commerce lainnya",Positif,2
nyebelin banget tiktok shop jlek,Negatif,0
w bingung tiktokshop tu knffh bisa murah murah bat yaðŸ˜­,Netral,1
demi gue gapernah berani beli snack or makanan kucing yang murah bgt di tiktok shopðŸ˜­,Positif,2
"ni tabrakan fyp ajig, tiktok shop dihapus, codeblu war, sekarang ni kasus adeknya jh  apa yang sebenarnya ditutupi, atau emang kebetulan ðŸ¤”",Netral,1
"Ga main tiktok, tapi cukup aneh dengan keputusan menutup Tiktok shop.   Kenapa gak aplikasi tiktoknya ajasih yang ditutup?",Negatif,0
"tiktokshop lagi sering freeong padahal pembelian gue di bawah 30k, ini apa gara gara bakal dilarang jadinya pada diskon yaaðŸ˜­ðŸ™ðŸ»",Netral,1
Knp good day freez di rumah sakit ini enak?besok harus beli lagi pake tumbler yang beli di tiktok shop!,Positif,2
wow tiktok shop lagi diskon gede2an sebelum tutup,Positif,2
"Gatau kenapa, tapi gw salut dengan org2 yg semangat jualan live stream walau hanya dikit yg nonton. Kebanyakan dari mereka dah usia senja dan mungkin sebelumnya gaptek, tapi mereka berusaha beradaptasi. Terlepas pro kontra tiktok shop, semoga diberikan solusi yg terbaik",Positif,2
tiktok shop tutup kapan jadinya?,Netral,1
ini serius bngt tiktok shop mau ngilang ðŸ™‚ gua lagi beli tas anjirrr mana po nya sebulan ðŸ˜­ðŸ˜­,Negatif,0
stlh gw pikir2 tuh gila banget.   pas kmren judi online naik barengan sma pinjol rame2nya  pas pinjol naik juga barengan sama tiktokshop naik (kebanyakan hampir smua perusahaan china)  sifat hedonismnya ada yang menunjang dengan baik.,Positif,2
Disetting seolah pedagang Tanah Abang akar dari ditutupnya TiktokshopðŸ‘€ Pdhal.. ya kelen tau lah umum2 aja sih masalah persaingan antar giant commerceðŸ¥²,Netral,1
Emang bener tiktok shop di tutup. Gabut liat live tiktok langsung keracunan soalnyaðŸ˜­ðŸ˜­,Positif,2
"Tiktok shop ditutup hhh, pdhl seru liatnya",Positif,2
siapa si yg blg tiktokshop lebih murahðŸ«µðŸ»,Netral,1
Tiktok shop ditutup hadeu,Negatif,0
"Seliweran soal Pemerintah minta TikTok Shop ga bole transaksi dan appnya harus terpisah dari TikTok sebagai Social Media.  Pertanyaannya: Apa sanggup?""  Emangnya kalo TikTok ga mau nurut, Pemerintah akan melakukan apa?"";1;netral,,,,,,,,,,,,,,,",Positif,2
"pengen lihat opini kalian dong tentang TikTok Shop mau di hapus, itu gmna?",Netral,1
gw pro tiktokshop mau ditutup (parfume gw abis di cancel),Netral,1
Dapat info dari kantor kalau tiktokshop beneran akan tutup setelah negosiasi kemarin. Langsung ikutan lemes ðŸ™‚,Netral,1
Ada yang pernah beli barang dari TikTok shop? Aku mau nanya sesuatu.,Netral,1
