Tweet,Sentimen,CaseFolding,cleaned,Tokenizing,Formalisasi,Stemming,preprocessed
"Tiktok shop mau ditutup pemerintah, baru kali ini gak sependapat sama kebijakan pak @jokowi",Positif,"tiktok shop mau ditutup pemerintah, baru kali ini gak sependapat sama kebijakan pak @jokowi",tiktok shop mau ditutup pemerintah baru kali ini gak sependapat sama kebijakan pak,"['tiktok', 'shop', 'mau', 'ditutup', 'pemerintah', 'baru', 'kali', 'ini', 'gak', 'sependapat', 'sama', 'kebijakan', 'pak']","['tiktok', 'shop', 'mau', 'ditutup', 'pemerintah', 'baru', 'kali', 'ini', 'tidak', 'sependapat', 'sama', 'kebijakan', 'pak']","['tiktok', 'shop', 'mau', 'tutup', 'perintah', 'baru', 'kali', 'ini', 'tidak', 'dapat', 'sama', 'bijak', 'pak']",tiktok shop mau ditutup pemerintah baru kali ini tidak sependapat sama kebijakan pak
"#TiktopShop Commerce ditutup? coba dah section commercenya dibuat wajib pajak bukan pkp lagi, coba aja coba.  Aneh jg commerce di tiktokshop belum pkp, setiap dapet invoice ga ada fakturnya.",Negatif,"#tiktopshop commerce ditutup? coba dah section commercenya dibuat wajib pajak bukan pkp lagi, coba aja coba.  aneh jg commerce di tiktokshop belum pkp, setiap dapet invoice ga ada fakturnya.",commerce ditutup coba dah section commercenya dibuat wajib pajak bukan pkp lagi coba aja coba aneh jg commerce di tiktok shop belum pkp setiap dapet invoice ga ada fakturnya,"['commerce', 'ditutup', 'coba', 'dah', 'section', 'commercenya', 'dibuat', 'wajib', 'pajak', 'bukan', 'pkp', 'lagi', 'coba', 'aja', 'coba', 'aneh', 'jg', 'commerce', 'di', 'tiktok', 'shop', 'belum', 'pkp', 'setiap', 'dapet', 'invoice', 'ga', 'ada', 'fakturnya']","['commerce', 'ditutup', 'coba', 'deh', 'section', 'commercenya', 'dibuat', 'wajib', 'pajak', 'bukan', 'pkp', 'lagi', 'coba', 'saja', 'coba', 'aneh', 'juga', 'commerce', 'di', 'tiktok', 'shop', 'belum', 'pkp', 'setiap', 'dapat', 'invoice', 'tidak', 'ada', 'fakturnya']","['commerce', 'tutup', 'coba', 'deh', 'section', 'commercenya', 'buat', 'wajib', 'pajak', 'bukan', 'pkp', 'lagi', 'coba', 'saja', 'coba', 'aneh', 'juga', 'commerce', 'di', 'tiktok', 'shop', 'belum', 'pkp', 'tiap', 'dapat', 'invoice', 'tidak', 'ada', 'faktur']",commerce ditutup coba deh section commercenya dibuat wajib pajak bukan pkp lagi coba saja coba aneh juga commerce di tiktok shop belum pkp setiap dapat invoice tidak ada fakturnya
"ni kalo tiktok shop ditutup gue beli skincare dimana anjir, di shopee tuh madagascar mahal udahan ðŸ˜­",Negatif,"ni kalo tiktok shop ditutup gue beli skincare dimana anjir, di shopee tuh madagascar mahal udahan ðÿ˜­",ni kalo tiktok shop ditutup gue beli skincare dimana anjir di shopee tuh madagascar mahal udahan,"['ni', 'kalo', 'tiktok', 'shop', 'ditutup', 'gue', 'beli', 'skincare', 'dimana', 'anjir', 'di', 'shopee', 'tuh', 'madagascar', 'mahal', 'udahan']","['ini', 'kalau', 'tiktok', 'shop', 'ditutup', 'saya', 'beli', 'skincare', 'dimana', 'anjing', 'di', 'shopee', 'tuh', 'madagascar', 'mahal', 'udahan']","['ini', 'kalau', 'tiktok', 'shop', 'tutup', 'saya', 'beli', 'skincare', 'mana', 'anjing', 'di', 'shopee', 'tuh', 'madagascar', 'mahal', 'udahan']",ini kalau tiktok shop ditutup saya beli skincare dimana anjing di shopee tuh madagascar mahal udahan
Juni kemarin Tiktok Shop jadi sponsor utama pameran buku internasional di Malaysia. Di Indonesia malah tiktok shop ditutup dan kita nggak bisa jualan lagi deh. Banyak banget penjual dan affiliator menangis. Apa ini?,Negatif,juni kemarin tiktok shop jadi sponsor utama pameran buku internasional di malaysia. di indonesia malah tiktok shop ditutup dan kita nggak bisa jualan lagi deh. banyak banget penjual dan affiliator menangis. apa ini?,juni kemarin tiktok shop jadi sponsor utama pameran buku internasional di malaysia di indonesia malah tiktok shop ditutup dan kita nggak bisa jualan lagi deh banyak banget penjual dan affiliator menangis apa ini,"['juni', 'kemarin', 'tiktok', 'shop', 'jadi', 'sponsor', 'utama', 'pameran', 'buku', 'internasional', 'di', 'malaysia', 'di', 'indonesia', 'malah', 'tiktok', 'shop', 'ditutup', 'dan', 'kita', 'nggak', 'bisa', 'jualan', 'lagi', 'deh', 'banyak', 'banget', 'penjual', 'dan', 'affiliator', 'menangis', 'apa', 'ini']","['juni', 'kemarin', 'tiktok', 'shop', 'jadi', 'sponsor', 'utama', 'pameran', 'buku', 'internasional', 'di', 'malaysia', 'di', 'indonesia', 'bahkan', 'tiktok', 'shop', 'ditutup', 'dan', 'kita', 'tidak', 'bisa', 'jualan', 'lagi', 'deh', 'banyak', 'sekali', 'penjual', 'dan', 'affiliator', 'menangis', 'apa', 'ini']","['juni', 'kemarin', 'tiktok', 'shop', 'jadi', 'sponsor', 'utama', 'pamer', 'buku', 'internasional', 'di', 'malaysia', 'di', 'indonesia', 'bahkan', 'tiktok', 'shop', 'tutup', 'dan', 'kita', 'tidak', 'bisa', 'jual', 'lagi', 'deh', 'banyak', 'sekali', 'jual', 'dan', 'affiliator', 'menang', 'apa', 'ini']",juni kemarin tiktok shop jadi sponsor utama pameran buku internasional di malaysia di indonesia bahkan tiktok shop ditutup dan kita tidak bisa jualan lagi deh banyak sekali penjual dan affiliator menangis apa ini
plis tiktokshop jgn ditutup dulu gue mau beliii ipad di tiktokðŸ˜­ðŸ˜­ðŸ˜­,Positif,plis tiktokshop jgn ditutup dulu gue mau beliii ipad di tiktokðÿ˜­ðÿ˜­ðÿ˜­,plis tiktok shop jgn ditutup dulu gue mau beliii ipad di tiktok,"['plis', 'tiktok', 'shop', 'jgn', 'ditutup', 'dulu', 'gue', 'mau', 'beliii', 'ipad', 'di', 'tiktok']","['tolong', 'tiktok', 'shop', 'jangan', 'ditutup', 'dulu', 'saya', 'mau', 'beliii', 'ipad', 'di', 'tiktok']","['tolong', 'tiktok', 'shop', 'jangan', 'tutup', 'dulu', 'saya', 'mau', 'beliii', 'ipad', 'di', 'tiktok']",tolong tiktok shop jangan ditutup dulu saya mau beliii ipad di tiktok
Koordinat perdebatan tiktokshop ditutup dong thank you,Negatif,koordinat perdebatan tiktokshop ditutup dong thank you,koordinat perdebatan tiktok shop ditutup dong thank you,"['koordinat', 'perdebatan', 'tiktok', 'shop', 'ditutup', 'dong', 'thank', 'you']","['koordinat', 'perdebatan', 'tiktok', 'shop', 'ditutup', 'dong', 'terima kasih', 'you']","['koordinat', 'debat', 'tiktok', 'shop', 'tutup', 'dong', 'terima kasih', 'you']",koordinat perdebatan tiktok shop ditutup dong terima kasih you
TikTok Shop sudah membantu pekerjaan saya dan memberikan dampak bagi keluarga saya dan jika ditutup maka akan banyak kendala dalam upaya menghidupi keluarga saya  Mohon atensi Bapak @jokowi   #KamiUMKMdiTikTok,Positif,tiktok shop sudah membantu pekerjaan saya dan memberikan dampak bagi keluarga saya dan jika ditutup maka akan banyak kendala dalam upaya menghidupi keluarga saya  mohon atensi bapak @jokowi   #kamiumkmditiktok,tiktok shop sudah membantu pekerjaan saya dan memberikan dampak bagi keluarga saya dan jika ditutup maka akan banyak kendala dalam upaya menghidupi keluarga saya mohon atensi bapak,"['tiktok', 'shop', 'sudah', 'membantu', 'pekerjaan', 'saya', 'dan', 'memberikan', 'dampak', 'bagi', 'keluarga', 'saya', 'dan', 'jika', 'ditutup', 'maka', 'akan', 'banyak', 'kendala', 'dalam', 'upaya', 'menghidupi', 'keluarga', 'saya', 'mohon', 'atensi', 'bapak']","['tiktok', 'shop', 'sudah', 'membantu', 'pekerjaan', 'saya', 'dan', 'memberikan', 'dampak', 'bagi', 'keluarga', 'saya', 'dan', 'jika', 'ditutup', 'maka', 'akan', 'banyak', 'kendala', 'dalam', 'upaya', 'menghidupi', 'keluarga', 'saya', 'mohon', 'atensi', 'bapak']","['tiktok', 'shop', 'sudah', 'bantu', 'kerja', 'saya', 'dan', 'beri', 'dampak', 'bagi', 'keluarga', 'saya', 'dan', 'jika', 'tutup', 'maka', 'akan', 'banyak', 'kendala', 'dalam', 'upaya', 'hidup', 'keluarga', 'saya', 'mohon', 'atensi', 'bapak']",tiktok shop sudah membantu pekerjaan saya dan memberikan dampak bagi keluarga saya dan jika ditutup maka akan banyak kendala dalam upaya menghidupi keluarga saya mohon atensi bapak
"aku lahir, dunia krisis masuk sd, ganti kepsek masuk smp, ganti kepsek masuk smk, ganti kepsek masuk kuliah, ganti dekan kerja, negara bikin regulasi baru bidang kerjaanku jualan di tiktokshop, ditutup  apa jangan2 aku harus diruwat ya",Positif,"aku lahir, dunia krisis masuk sd, ganti kepsek masuk smp, ganti kepsek masuk smk, ganti kepsek masuk kuliah, ganti dekan kerja, negara bikin regulasi baru bidang kerjaanku jualan di tiktokshop, ditutup  apa jangan2 aku harus diruwat ya",aku lahir dunia krisis masuk sd ganti kepsek masuk smp ganti kepsek masuk smk ganti kepsek masuk kuliah ganti dekan kerja negara bikin regulasi baru bidang kerjaanku jualan di tiktok shop ditutup apa jangan2 aku harus diruwat ya,"['aku', 'lahir', 'dunia', 'krisis', 'masuk', 'sd', 'ganti', 'kepsek', 'masuk', 'smp', 'ganti', 'kepsek', 'masuk', 'smk', 'ganti', 'kepsek', 'masuk', 'kuliah', 'ganti', 'dekan', 'kerja', 'negara', 'bikin', 'regulasi', 'baru', 'bidang', 'kerjaanku', 'jualan', 'di', 'tiktok', 'shop', 'ditutup', 'apa', 'jangan2', 'aku', 'harus', 'diruwat', 'ya']","['saya', 'lahir', 'dunia', 'krisis', 'masuk', 'sd', 'ganti', 'kepala sekolah', 'masuk', 'sampai', 'ganti', 'kepala sekolah', 'masuk', 'smk', 'ganti', 'kepala sekolah', 'masuk', 'kuliah', 'ganti', 'dekan', 'kerja', 'negara', 'bikin', 'regulasi', 'baru', 'bidang', 'kerjaanku', 'jualan', 'di', 'tiktok', 'shop', 'ditutup', 'apa', 'jangan2', 'saya', 'harus', 'diruwat', 'iya']","['saya', 'lahir', 'dunia', 'krisis', 'masuk', 'sd', 'ganti', 'kepala sekolah', 'masuk', 'sampai', 'ganti', 'kepala sekolah', 'masuk', 'smk', 'ganti', 'kepala sekolah', 'masuk', 'kuliah', 'ganti', 'dekan', 'kerja', 'negara', 'bikin', 'regulasi', 'baru', 'bidang', 'kerja', 'jual', 'di', 'tiktok', 'shop', 'tutup', 'apa', 'jangan2', 'saya', 'harus', 'ruwat', 'iya']",saya lahir dunia krisis masuk sd ganti kepala sekolah masuk sampai ganti kepala sekolah masuk smk ganti kepala sekolah masuk kuliah ganti dekan kerja negara bikin regulasi baru bidang kerjaanku jualan di tiktok shop ditutup apa jangan2 saya harus diruwat iya
walopun tiktok shop ditutup dilarang pemerintah tapi kamu masih bisa membuka aurat yang dilarang agama coba kamu renungkan slama 5 detik,Negatif,walopun tiktok shop ditutup dilarang pemerintah tapi kamu masih bisa membuka aurat yang dilarang agama coba kamu renungkan slama 5 detik,walopun tiktok shop ditutup dilarang pemerintah tapi kamu masih bisa membuka aurat yang dilarang agama coba kamu renungkan slama 5 detik,"['walopun', 'tiktok', 'shop', 'ditutup', 'dilarang', 'pemerintah', 'tapi', 'kamu', 'masih', 'bisa', 'membuka', 'aurat', 'yang', 'dilarang', 'agama', 'coba', 'kamu', 'renungkan', 'slama', '5', 'detik']","['walopun', 'tiktok', 'shop', 'ditutup', 'dilarang', 'pemerintah', 'tetapi', 'kamu', 'masih', 'bisa', 'membuka', 'aurat', 'yang', 'dilarang', 'agama', 'coba', 'kamu', 'renungkan', 'slama', '5', 'detik']","['walopun', 'tiktok', 'shop', 'tutup', 'larang', 'perintah', 'tetapi', 'kamu', 'masih', 'bisa', 'buka', 'aurat', 'yang', 'larang', 'agama', 'coba', 'kamu', 'renung', 'slama', '5', 'detik']",walopun tiktok shop ditutup dilarang pemerintah tetapi kamu masih bisa membuka aurat yang dilarang agama coba kamu renungkan slama 5 detik
"yg harus ditutup itu seharusnya slot/judi online, bukan #tiktokshop. apa karna pajaknya gede? ðŸ‘€",Negatif,"yg harus ditutup itu seharusnya slot/judi online, bukan #tiktokshop. apa karna pajaknya gede? ðÿ‘€",yg harus ditutup itu seharusnya slotjudi online bukan apa karna pajaknya gede,"['yg', 'harus', 'ditutup', 'itu', 'seharusnya', 'slotjudi', 'online', 'bukan', 'apa', 'karna', 'pajaknya', 'gede']","['yang', 'harus', 'ditutup', 'itu', 'seharusnya', 'slotjudi', 'online', 'bukan', 'apa', 'karena', 'pajaknya', 'besar']","['yang', 'harus', 'tutup', 'itu', 'harus', 'slotjudi', 'online', 'bukan', 'apa', 'karena', 'pajak', 'besar']",yang harus ditutup itu seharusnya slotjudi online bukan apa karena pajaknya besar
baru tau tiktokshop tp udah mau ditutup aja ish,Negatif,baru tau tiktokshop tp udah mau ditutup aja ish,baru tau tiktok shop tp udah mau ditutup aja ish,"['baru', 'tau', 'tiktok', 'shop', 'tp', 'udah', 'mau', 'ditutup', 'aja', 'ish']","['baru', 'tahu', 'tiktok', 'shop', 'tetapi', 'sudah', 'mau', 'ditutup', 'saja', 'ish']","['baru', 'tahu', 'tiktok', 'shop', 'tetapi', 'sudah', 'mau', 'tutup', 'saja', 'ish']",baru tahu tiktok shop tetapi sudah mau ditutup saja ish
Kalo tiktokshop ditutup gmn yg lg sibuk kerja disitu ya ? Kayak saya saya ini ðŸ¤£ðŸ¤£ðŸ¤£,Netral,kalo tiktokshop ditutup gmn yg lg sibuk kerja disitu ya ? kayak saya saya ini ðÿ¤£ðÿ¤£ðÿ¤£,kalo tiktok shop ditutup gmn yg lg sibuk kerja disitu ya kayak saya saya ini,"['kalo', 'tiktok', 'shop', 'ditutup', 'gmn', 'yg', 'lg', 'sibuk', 'kerja', 'disitu', 'ya', 'kayak', 'saya', 'saya', 'ini']","['kalau', 'tiktok', 'shop', 'ditutup', 'bagaimana', 'yang', 'lagi', 'sibuk', 'kerja', 'disitu', 'iya', 'seperti', 'saya', 'saya', 'ini']","['kalau', 'tiktok', 'shop', 'tutup', 'bagaimana', 'yang', 'lagi', 'sibuk', 'kerja', 'situ', 'iya', 'seperti', 'saya', 'saya', 'ini']",kalau tiktok shop ditutup bagaimana yang lagi sibuk kerja disitu iya seperti saya saya ini
Harus cepet-cepet checkout wishlist di tiktokshop nih sebelum ditutup karena harganya suka jauh lebih murah daripada di ecomm,Positif,harus cepet-cepet checkout wishlist di tiktokshop nih sebelum ditutup karena harganya suka jauh lebih murah daripada di ecomm,harus cepet cepet checkout wishlist di tiktok shop nih sebelum ditutup karena harganya suka jauh lebih murah daripada di ecomm,"['harus', 'cepet', 'cepet', 'checkout', 'wishlist', 'di', 'tiktok', 'shop', 'nih', 'sebelum', 'ditutup', 'karena', 'harganya', 'suka', 'jauh', 'lebih', 'murah', 'daripada', 'di', 'ecomm']","['harus', 'cepat', 'cepat', 'checkout', 'wishlist', 'di', 'tiktok', 'shop', 'ini', 'sebelum', 'ditutup', 'karena', 'harganya', 'suka', 'jauh', 'lebih', 'murah', 'daripada', 'di', 'ecomm']","['harus', 'cepat', 'cepat', 'checkout', 'wishlist', 'di', 'tiktok', 'shop', 'ini', 'belum', 'tutup', 'karena', 'harga', 'suka', 'jauh', 'lebih', 'murah', 'daripada', 'di', 'ecomm']",harus cepat cepat checkout wishlist di tiktok shop ini sebelum ditutup karena harganya suka jauh lebih murah daripada di ecomm
